,breed,color,id,male,species,name
362,Jack Russell Terrier/Brittany,Red/White,A664719,0.0,Dog,Andie
363,Border Collie/Parson Russell Terrier,Brown Brindle/White,A664720,0.0,Dog,Delilah
364,Domestic Shorthair Mix,Black,A664722,1.0,Cat,Blackberry
365,Ferret,Gray/White,A664724,1.0,Other,Banjo
366,Australian Cattle Dog Mix,Tricolor,A659894,0.0,Dog,Reesie
367,Domestic Shorthair Mix,Calico,A664723,0.0,Cat,None
368,Chihuahua Shorthair Mix,White/Brown,A664681,0.0,Dog,Pooffy
369,Border Terrier Mix,Red/White,A662830,0.0,Dog,Bella
370,Flat Coat Retriever Mix,Black,A664725,1.0,Dog,Gunner
371,Domestic Shorthair Mix,Black,A664726,1.0,Cat,None
372,Boston Terrier Mix,Black/White,A664729,1.0,Dog,None
373,Blue Lacy Mix,Blue/White,A658013,1.0,Dog,Marcos
374,Pointer Mix,Black/White,A664097,0.0,Dog,Remmy
375,Australian Kelpie/Miniature Pinscher,Black/Brown,A664730,1.0,Dog,Charlie
376,Domestic Shorthair Mix,Blue Tabby/White,A664732,0.0,Cat,Momma
377,Domestic Shorthair Mix,Brown Tabby/White,A664733,0.0,Cat,None
378,Domestic Shorthair Mix,Brown Tabby/White,A664734,1.0,Cat,None
379,Domestic Shorthair Mix,Blue Tabby/White,A664735,0.0,Cat,None
380,Domestic Shorthair Mix,Blue Tabby/White,A664736,1.0,Cat,None
381,Canaan Dog/Pit Bull,Red/White,A664737,1.0,Dog,Jack
382,Pit Bull Mix,Brown Brindle/White,A664738,0.0,Dog,Chelsea
383,Domestic Shorthair Mix,Black Tabby,A664740,0.0,Cat,None
384,Dachshund Mix,Black/White,A664742,0.0,Dog,Angel
385,Pit Bull Mix,White,A664702,1.0,Dog,Harley
