Animal ID,Name,Intake Date,Intake Time,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color
A685279,Sophie,08/20/2014,12:46PM,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,7 years,Domestic Longhair Mix,Brown Tabby/White
A678434,Casey,08/20/2014,1:25PM,5516 Pine Pl in Austin (TX),Public Assist,Normal,Dog,Intact Female,2 years,Pit Bull Mix,Blue
A671620,Ceasar,08/20/2014,2:41PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,6 years,American Bulldog Mix,White/Black
A686336,Mimi,08/20/2014,2:50PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,3 years,Siamese,Seal Point
A686334,Kane,08/20/2014,2:59PM,6013 S 1St in Austin (TX),Public Assist,Injured,Dog,Neutered Male,6 years,Pit Bull Mix,Brown/White
A686337,Vega,08/20/2014,3:41PM,12310 Von Quintus Rd in Travis (TX),Owner Surrender,Normal,Dog,Intact Female,3 years,German Shepherd,Brown/Black
A686339,Cody,08/20/2014,3:42PM,2321 Santa Rita in Austin (TX),Stray,Normal,Dog,Intact Male,12 years,Boxer Mix,Tan/White
A640710,Lou,08/20/2014,4:07PM,1823 Fortview Rd in Austin (TX),Stray,Normal,Dog,Neutered Male,1 year,Blue Lacy,Blue/White
A686341,,08/20/2014,4:20PM,513 Vargas Rd in Austin (TX),Stray,Normal,Other,Unknown,1 year,Rabbit Sh Mix,Black
A686342,,08/20/2014,4:20PM,513 Vargas Rd in Austin (TX),Stray,Normal,Other,Unknown,1 year,Rabbit Sh Mix,Brown
A686348,Oscar,08/20/2014,5:02PM,Woodhollow & Grayston in Austin (TX),Stray,Normal,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Orange Tabby/White
A686349,Nova,08/20/2014,5:02PM,Ohlen And 183 in Austin (TX),Stray,Normal,Dog,Intact Female,5 months,Dachshund/Dachshund,Black
A630325,Kokomo,08/20/2014,5:10PM,West Dittmar And Palace Pkwy in Austin (TX),Stray,Normal,Dog,Spayed Female,5 years,Bull Terrier Mix,Red/White
A686362,Rocky,08/20/2014,5:27PM,Duval And E 48Th St in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Brown Brindle/White
A686360,*Jasmine,08/20/2014,5:37PM,2408 Pemberton Parkway in Austin (TX),Stray,Normal,Cat,Intact Female,9 months,Domestic Shorthair Mix,Brown Tabby/White
A686206,Scooby,08/20/2014,5:58PM,Cameron Rd & Ferguson Ln in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,German Shepherd Mix,Tan/White
A686364,Bruce,08/20/2014,6:01PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,4 months,Pug/Labrador Retriever,Brown/Black
A686365,Dyami,08/20/2014,6:24PM,Hamilton Point Circle & Jaron Dr in Manor (TX),Stray,Normal,Dog,Intact Female,9 months,Carolina Dog,Tan
A686366,,08/20/2014,6:38PM,9909 Fm 969 in Austin (TX),Stray,Normal,Cat,Intact Male,2 days,Domestic Shorthair Mix,Blue Tabby/White
A686371,Taker,08/21/2014,9:15AM,Airport in Austin (TX),Stray,Normal,Dog,Intact Male,11 months,Pit Bull Mix,Brown Brindle
A686372,Tea-Tee,08/21/2014,9:15AM,Airport in Austin (TX),Stray,Normal,Dog,Intact Female,11 months,Staffordshire Mix,White/Tan
A686385,,08/21/2014,10:32AM,Haskell And Robert Martinez in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Tortie
A686377,,08/21/2014,10:41AM,Norwood Park Blvd & Clock Tower Dr in Austin (TX),Stray,Normal,Dog,Intact Male,1 month,Dachshund Wirehair Mix,Brown/Black
A686383,*Prince,08/21/2014,11:04AM,S1St/William Cannon in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Akita Mix,White/Tan
A496789,Arabella,08/21/2014,11:04AM,Austin (TX),Owner Surrender,Injured,Cat,Spayed Female,7 years,Domestic Shorthair Mix,Blue/White
